Names	total	elements
		ROC22_k31_TRINITY_DN4818_c0_g1_i3.gen
		B1_k25_TRINITY_DN2504_c0_g1_i8.gen
		CC011940_cc_00043426-RA.gen
		GXU-34140_k25_TRINITY_DN11480_c0_g1_i15.gen
		MS6847_k25_TRINITY_DN14286_c0_g1_i7.gen
		US851008_k31_TRINITY_DN3488_c0_g1_i6.gen
		QS99-2014_k25_TRINITY_DN1935_c1_g1_i5.gen
		GT96-167_k31_TRINITY_DN2272_c0_g2_i5.gen
		T2_k31_TRINITY_DN20568_c0_g1_i1.gen
		F1-Bulk-2_k31_TRINITY_DN9170_c0_g1_i2.gen
		QN05-1743_k31_TRINITY_DN34084_c0_g1_i2.gen
		CP74-2005_k31_TRINITY_DN15164_c0_g2_i1.gen
		B1_k25_TRINITY_DN7247_c0_g1_i1.gen
		LCP85-384_k31_TRINITY_DN825_c0_g1_i4.gen
		MT11-610_k25_TRINITY_DN40982_c0_g1_i2.gen
		KQB08-32953_k25_TRINITY_DN5488_c0_g1_i3.gen
		RB72454_k25_TRINITY_DN33172_c0_g2_i1.gen
		MT11-610_k31_TRINITY_DN26198_c0_g2_i1.gen
		US851008_k25_TRINITY_DN497_c0_g2_i4.gen
		GT96-167_k25_TRINITY_DN22462_c0_g1_i3.gen
		RB855156_k31_TRINITY_DN9053_c0_g1_i3.gen
		ROC20_k25_TRINITY_DN1137_c0_g1_i6.gen
		KQ08-2850_k25_TRINITY_DN4144_c0_g1_i10.gen
		F1-Bulk-2_k25_TRINITY_DN11250_c0_g1_i15.gen
		KQB09-23137_k31_TRINITY_DN590_c0_g2_i9.gen
		ROC22_k31_TRINITY_DN10816_c0_g2_i7.gen
		TUC717_k25_TRINITY_DN1413_c0_g1_i11.gen
		MT11-610_k25_TRINITY_DN6799_c0_g1_i2.gen
		Co8021_k31_TRINITY_DN60003_c0_g1_i4.gen
		R570_BAC_Sh_243A12_p000010.gen
		SP803280_IQUSP_evm.model.uti_cns_0064010.2.gen
		SP803280_IQUSP_evm.model.uti_cns_0204320.1.gen
		KQB09-20620_k25_TRINITY_DN1466_c0_g1_i4.gen
		SP803280_IQUSP_evm.model.uti_cns_0071998.2.gen
		F1-Bulk-2_k25_TRINITY_DN7363_c0_g2_i1.gen
		QA02-1009_k31_TRINITY_DN5828_c0_g1_i7.gen
		Q200_k31_TRINITY_DN568_c0_g1_i5.gen
		F1-Bulk-1_k25_TRINITY_DN8706_c1_g1_i4.gen
		GXU-34176_k31_TRINITY_DN5917_c0_g1_i12.gen
		MT11-610_k25_TRINITY_DN10828_c0_g1_i7.gen
		GT96-167_k25_TRINITY_DN1174_c0_g2_i1.gen
		KQB07-24739_k31_TRINITY_DN5991_c0_g1_i4.gen
		R570_ASM_Sh04_p017820.gen
		MS6847_k25_TRINITY_DN17382_c1_g1_i6.gen
		SP80-3280_Mattielo_SP803280_c62228_g1_i1.gen
		SP803280_IQUSP_evm.model.uti_cns_0019140.1.gen
		F1-Bulk-2_k31_TRINITY_DN11340_c0_g1_i21.gen
		MT11-610_k25_TRINITY_DN14365_c0_g2_i1.gen
		KQB09-23137_k31_TRINITY_DN7782_c0_g1_i12.gen
		RB855156_k31_TRINITY_DN4367_c0_g1_i3.gen
		KQB09-20432_k25_TRINITY_DN13990_c0_g1_i1.gen
		T1_k31_TRINITY_DN4351_c0_g2_i1.gen
		LCP85-384_k31_TRINITY_DN162_c0_g3_i1.gen
		QA02-1009_k31_TRINITY_DN5801_c0_g1_i16.gen
		B2_k25_TRINITY_DN18076_c0_g1_i10.gen
		KQB08-32953_k31_TRINITY_DN1156_c0_g1_i1.gen
		F1-Bulk-1_k25_TRINITY_DN13699_c0_g1_i7.gen
		MT11-610_k25_TRINITY_DN430_c0_g1_i6.gen
		KQB08-32953_k25_TRINITY_DN5252_c0_g1_i18.gen
		CC011940_Sobic.003G165800.1.mrna1.gen
		Q241_k31_TRINITY_DN3683_c0_g2_i4.gen
		CoV92102_k25_TRINITY_DN11348_c0_g1_i4.gen
		KQB09-23137_k31_TRINITY_DN1422_c0_g1_i2.gen
		QA02-1009_k25_TRINITY_DN6173_c0_g1_i2.gen
		KQ08-2850_k31_TRINITY_DN2900_c0_g2_i4.gen
		QN05-1460_k25_TRINITY_DN8209_c0_g1_i3.gen
		GT96-167_k25_TRINITY_DN1501_c0_g2_i1.gen
		GUC2_k31_TRINITY_DN3373_c0_g1_i6.gen
		KQ08-2850_k31_TRINITY_DN4330_c0_g1_i15.gen
		KQ08-2850_k31_TRINITY_DN2215_c0_g1_i8.gen
		RB855156_k25_TRINITY_DN3316_c0_g1_i13.gen
		SP803280_IQUSP_evm.model.uti_cns_0244179.2.gen
		ROC20_k31_TRINITY_DN6487_c0_g2_i5.gen
		SP80-3280_Mattielo_SP803280_c100065_g2_i1.gen
		KQB07-23863_k31_TRINITY_DN13247_c0_g1_i6.gen
		SP803280_IQUSP_evm.model.uti_cns_0252625.3.gen
		LCP85-384_k31_TRINITY_DN13360_c0_g2_i2.gen
		ROC22_k25_TRINITY_DN9727_c0_g1_i9.gen
		KQB07-23990_k25_TRINITY_DN4171_c0_g1_i9.gen
		ROC20_k31_TRINITY_DN21058_c0_g1_i1.gen
		ROC20_k31_TRINITY_DN35494_c0_g2_i2.gen
		ROC20_k31_TRINITY_DN10146_c1_g1_i2.gen
		CC011940_Sobic.006G083300.1.mrna1.gen
		CoV92102_k31_TRINITY_DN2019_c0_g1_i16.gen
		ROC22_k25_TRINITY_DN16960_c0_g1_i2.gen
		RB855156_k25_TRINITY_DN24715_c0_g1_i2.gen
		CoV92102_k31_TRINITY_DN5360_c0_g2_i3.gen
		MT11-610_k31_TRINITY_DN19067_c0_g1_i3.gen
		F1-Bulk-1_k25_TRINITY_DN76064_c0_g2_i1.gen
		CoV92102_k31_TRINITY_DN23074_c0_g1_i5.gen
		KQ08-2850_k31_TRINITY_DN1284_c0_g1_i2.gen
		MS6847_k25_TRINITY_DN8203_c0_g1_i1.gen
		KQ08-2850_k25_TRINITY_DN4401_c0_g1_i10.gen
		GN18_k31_TRINITY_DN2565_c0_g1_i6.gen
		KQB09-23137_k31_TRINITY_DN9102_c0_g1_i12.gen
		F1-Bulk-2_k25_TRINITY_DN3394_c0_g1_i12.gen
		LCP85-384_k25_TRINITY_DN782_c0_g1_i4.gen
		GN18_k25_TRINITY_DN15117_c0_g2_i1.gen
		R570_BAC_Sh_253J12_p000030.gen
		T1_k25_TRINITY_DN6868_c0_g2_i8.gen
		CoV92102_k31_TRINITY_DN5184_c0_g1_i5.gen
		LCP85-384_k31_TRINITY_DN5047_c0_g1_i8.gen
		B2_k31_TRINITY_DN6306_c0_g1_i3.gen
		QBYN04-26041_k31_TRINITY_DN3484_c0_g1_i9.gen
		QC02-402_k25_TRINITY_DN2424_c0_g1_i6.gen
		ROC20_k31_TRINITY_DN3079_c0_g1_i1.gen
		QS99-2014_k31_TRINITY_DN1853_c0_g1_i9.gen
		CoV92102_k31_TRINITY_DN33031_c0_g1_i6.gen
		Co06022_k31_TRINITY_DN13558_c0_g1_i10.gen
		KQB08-32953_k25_TRINITY_DN10224_c0_g1_i2.gen
		F1-Bulk-2_k31_TRINITY_DN9740_c0_g1_i7.gen
		KQB09-20620_k25_TRINITY_DN640_c1_g2_i5.gen
		B2_k31_TRINITY_DN4744_c1_g1_i12.gen
		SP80-3280_unmappedk31_TRINITY_DN925_c0_g2_i2.gen
		MS6847_k25_TRINITY_DN925_c1_g1_i1.gen
		QBYN04-26041_k31_TRINITY_DN486_c0_g1_i6.gen
		MS6847_k31_TRINITY_DN18743_c0_g1_i2.gen
		KQB09-23137_k25_TRINITY_DN920_c0_g1_i11.gen
		GN18_k25_TRINITY_DN263_c1_g1_i1.gen
		CP74-2005_k31_TRINITY_DN10210_c0_g2_i6.gen
		B1_k31_TRINITY_DN16358_c0_g1_i6.gen
		QC02-402_k31_TRINITY_DN3025_c0_g1_i9.gen
		QBYN04-26041_k31_TRINITY_DN4135_c0_g2_i4.gen
		F1-Bulk-2_k25_TRINITY_DN56367_c0_g1_i1.gen
		SP80-3280_unmappedk25_TRINITY_DN9179_c0_g1_i1.gen
		FN95-1702_k25_TRINITY_DN13778_c0_g1_i7.gen
		QN05-1743_k25_TRINITY_DN2754_c1_g1_i6.gen
		QN05-1460_k25_TRINITY_DN665_c0_g1_i16.gen
		R570_BAC_Sh_231M19_p000030.gen
		LCP85-384_k31_TRINITY_DN9076_c0_g1_i6.gen
		QN05-1509_k31_TRINITY_DN5083_c0_g1_i3.gen
		ROC20_k31_TRINITY_DN10955_c0_g1_i4.gen
		Q200_k25_TRINITY_DN33545_c0_g1_i3.gen
		MT11-610_k25_TRINITY_DN5435_c0_g2_i1.gen
		GXU-34140_k31_TRINITY_DN5968_c0_g2_i3.gen
		US851008_k31_TRINITY_DN14823_c0_g1_i1.gen
		T1_k31_TRINITY_DN12185_c0_g2_i1.gen
		MS6847_k31_TRINITY_DN11570_c0_g2_i5.gen
		F1-Bulk-1_k31_TRINITY_DN20617_c1_g1_i1.gen
		SP803280_CTBE_evm.model.SCSP803280_000043498.1.gen
		MS6847_k31_TRINITY_DN11045_c0_g1_i7.gen
		ROC22_k31_TRINITY_DN10310_c0_g2_i10.gen
		QA96-1749_k25_TRINITY_DN8464_c0_g2_i6.gen
		F1-Bulk-2_k25_TRINITY_DN33741_c0_g1_i3.gen
		KQB07-24619_k25_TRINITY_DN3705_c0_g1_i2.gen
		SP803280_IQUSP_evm.model.uti_cns_0254399.3.gen
		QN05-1743_k25_TRINITY_DN2174_c0_g2_i13.gen
		B1_k31_TRINITY_DN3310_c1_g1_i1.gen
		KQB09-20432_k31_TRINITY_DN2937_c0_g1_i6.gen
		KQB09-23137_k31_TRINITY_DN6415_c0_g1_i6.gen
		KQB09-23137_k31_TRINITY_DN2285_c0_g3_i1.gen
		CP74-2005_k25_TRINITY_DN27320_c0_g1_i1.gen
		KQB07-23863_k25_TRINITY_DN9739_c0_g1_i4.gen
		GXU-34176_k31_TRINITY_DN30100_c0_g1_i2.gen
		MT11-610_k25_TRINITY_DN2051_c0_g1_i1.gen
		GT96-167_k31_TRINITY_DN8349_c0_g2_i2.gen
		ROC20_k31_TRINITY_DN2545_c0_g2_i2.gen
		KQB07-23990_k25_TRINITY_DN2275_c0_g1_i10.gen
		KQB07-23990_k25_TRINITY_DN5980_c0_g2_i6.gen
		GN18_k25_TRINITY_DN10278_c1_g1_i1.gen
		KQ08-2850_k31_TRINITY_DN13926_c0_g1_i4.gen
		KQB07-24739_k31_TRINITY_DN9235_c0_g1_i2.gen
		MT11-610_k31_TRINITY_DN23617_c0_g1_i4.gen
		T1_k25_TRINITY_DN4806_c0_g1_i8.gen
		ROC22_k31_TRINITY_DN4983_c1_g1_i9.gen
		RB72454_k31_TRINITY_DN7947_c0_g1_i6.gen
		F1-Bulk-2_k31_TRINITY_DN4251_c0_g1_i4.gen
		Q200_k31_TRINITY_DN3507_c0_g4_i4.gen
		GT96-167_k25_TRINITY_DN7255_c0_g1_i4.gen
		F1-Bulk-1_k31_TRINITY_DN14746_c0_g1_i16.gen
		QA96-1749_k31_TRINITY_DN4146_c0_g1_i1.gen
		QS99-2014_k25_TRINITY_DN2191_c0_g1_i14.gen
		GT96-167_k25_TRINITY_DN8968_c2_g1_i4.gen
		QS99-2014_k25_TRINITY_DN5519_c1_g1_i1.gen
		MT11-610_k25_TRINITY_DN104093_c1_g1_i1.gen
		GN18_k25_TRINITY_DN19706_c1_g1_i1.gen
		F1-Bulk-1_k31_TRINITY_DN18950_c0_g1_i4.gen
		CC011940_Sobic.007G185700.3.mrna1.gen
		KQB07-23990_k31_TRINITY_DN4110_c0_g1_i2.gen
		Q200_k31_TRINITY_DN7124_c0_g1_i3.gen
		GXU-34176_k25_TRINITY_DN2315_c0_g2_i4.gen
