Names	total	elements
		QA96-1749_k25_TRINITY_DN4761_c0_g1_i13.gen
		KQ08-2850_k31_TRINITY_DN4330_c0_g1_i15.gen
		QBYN04-26041_k31_TRINITY_DN3028_c0_g1_i7.gen
		Co8021_k31_TRINITY_DN54103_c0_g1_i18.gen
		GUC2_k25_TRINITY_DN25006_c0_g1_i1.gen
		KQB07-23863_k31_TRINITY_DN13247_c0_g1_i6.gen
		Co06022_k25_TRINITY_DN8963_c0_g1_i13.gen
		CP74-2005_k31_TRINITY_DN8464_c0_g2_i1.gen
		KQB09-23137_k25_TRINITY_DN320_c0_g1_i2.gen
		KQB07-24739_k25_TRINITY_DN1785_c0_g1_i4.gen
		KQB07-24739_k25_TRINITY_DN2523_c0_g1_i1.gen
		QA96-1749_k31_TRINITY_DN5306_c0_g1_i29.gen
		KQ08-2850_k31_TRINITY_DN3716_c0_g2_i3.gen
		Co8021_k25_TRINITY_DN10069_c0_g2_i5.gen
		SP803280_IQUSP_evm.model.uti_cns_0030675.1.gen
		CP74-2005_k31_TRINITY_DN7732_c0_g2_i15.gen
		MS6847_k31_TRINITY_DN1254_c0_g1_i2.gen
		KQB07-24619_k25_TRINITY_DN8966_c0_g1_i12.gen
		KQB07-23863_k25_TRINITY_DN38405_c0_g1_i1.gen
		RB72454_k31_TRINITY_DN3156_c0_g3_i1.gen
		KQB09-23137_k31_TRINITY_DN9102_c0_g1_i12.gen
		QN05-1460_k31_TRINITY_DN21844_c0_g1_i8.gen
		SP80-3280_unmappedk31_TRINITY_DN4299_c0_g1_i5.gen
		KQ08-2850_k31_TRINITY_DN3616_c0_g1_i9.gen
		QS99-2014_k25_TRINITY_DN1792_c0_g1_i1.gen
		LCP85-384_k25_TRINITY_DN8794_c0_g1_i5.gen
		F1-Bulk-1_k31_TRINITY_DN9031_c0_g1_i4.gen
		SP80-3280_unmappedk31_TRINITY_DN519_c0_g2_i1.gen
		QN05-1509_k31_TRINITY_DN3156_c0_g2_i8.gen
		MT11-610_k25_TRINITY_DN19845_c0_g1_i6.gen
		QN05-1509_k31_TRINITY_DN3373_c0_g1_i7.gen
		QN05-1743_k31_TRINITY_DN8255_c0_g1_i5.gen
		Co06022_k31_TRINITY_DN4783_c0_g1_i15.gen
		QA02-1009_k25_TRINITY_DN2955_c0_g1_i30.gen
		KQB08-32953_k25_TRINITY_DN3492_c0_g1_i3.gen
		Co06022_k25_TRINITY_DN77341_c0_g1_i2.gen
		KQB09-20620_k25_TRINITY_DN4034_c0_g1_i17.gen
		QC02-402_k25_TRINITY_DN2424_c0_g1_i6.gen
		QS99-2014_k25_TRINITY_DN2191_c0_g1_i12.gen
		QN05-1509_k25_TRINITY_DN8072_c0_g1_i4.gen
		CP74-2005_k31_TRINITY_DN10210_c0_g2_i6.gen
		KQ08-2850_k25_TRINITY_DN536_c0_g1_i1.gen
		CoV92102_k31_TRINITY_DN11576_c0_g1_i15.gen
		Co8021_k31_TRINITY_DN4040_c0_g1_i8.gen
		QA96-1749_k25_TRINITY_DN2522_c0_g1_i3.gen
